M-0298: Region Name,Des_Dis,Destination_Total,GPS_Des_Lat,GPS_Des_Lon,Ori_Dis,Origin_Region_country,Origin_Total,GPS_Ori_Lat,GPS_Ori_Lon
Bakool,Waajid,4459,3.816448053,43.4328553,Doolow,Gedo,14,4.002466231,42.14081526
Bakool,Waajid,4459,3.816448053,43.4328553,Luuq,Gedo,3427,3.793220649,42.69780996
Bakool,Waajid,4459,3.816448053,43.4328553,Rab Dhuure,Bakool,523,4.243380685,43.2121911
Bakool,Waajid,4459,3.816448053,43.4328553,Waajid,Bakool,481,3.816448053,43.4328553
Bakool,Waajid,4459,3.816448053,43.4328553,Xudur,Bakool,14,4.188907676,43.90631591
Bakool,Xudur,6592,4.188907676,43.90631591,Ceel Barde,Bakool,12,4.673869067,43.99841878
Bakool,Xudur,6592,4.188907676,43.90631591,Ethiopia,Ethiopia,10,7.174992,43.527104
Bakool,Xudur,6592,4.188907676,43.90631591,Luuq,Gedo,21,7.174992 43.527104,42.69780996
Bakool,Xudur,6592,4.188907676,43.90631591,Other country,Other country,16,7.174992,43.527104
Bakool,Xudur,6592,4.188907676,43.90631591,Tayeeglow,Bakool,27,3.835953948,44.52914325
Bakool,Xudur,6592,4.188907676,43.90631591,Xudur,Bakool,6506,4.188907676,43.90631591
Banadir,Daynile,16003,2.078536765,45.28672179,Adan Yabaal,Middle Shabelle,267,3.54864655,46.54565816
Banadir,Daynile,16003,2.078536765,45.28672179,Adan Yabaal,Middle Shabelle ,15,3.54864655,46.54565816
Banadir,Daynile,16003,2.078536765,45.28672179,Afgooye,Lower Shabelle,1788,2.241944781,45.07100381
Banadir,Daynile,16003,2.078536765,45.28672179,Afgooye,Lower Shabelle ,33,2.241944781,45.07100381
Banadir,Daynile,16003,2.078536765,45.28672179,Baardheere,Gedo,18,2.414277121,42.15568498
Banadir,Daynile,16003,2.078536765,45.28672179,Baydhaba,Bay,450,3.266361959,43.63935207
Banadir,Daynile,16003,2.078536765,45.28672179,Balcad,Middle Shabelle,798,2.4885237,45.6591593
Banadir,Daynile,16003,2.078536765,45.28672179,Balcad,Middle Shabelle ,15,2.4885237,45.6591593
Banadir,Daynile,16003,2.078536765,45.28672179,Baraawe,Lower Shabelle,91,1.106721226,43.84188367
Banadir,Daynile,16003,2.078536765,45.28672179,Belet Weyne,Hiraan,92,4.716699108,45.3771213
Banadir,Daynile,16003,2.078536765,45.28672179,Bulo Burto,Hiraan,35,3.899920864,45.53192672
Banadir,Daynile,16003,2.078536765,45.28672179,Buur Hakaba,Bay,256,2.485382522,44.00691825
Banadir,Daynile,16003,2.078536765,45.28672179,Cadale,Middle Shabelle,67,3.090804085,46.26375589
Banadir,Daynile,16003,2.078536765,45.28672179,Ceel Barde,Bakool,7,4.673869067,43.99841878
Banadir,Daynile,16003,2.078536765,45.28672179,Daynile,Banadir,42,2.078536765,45.28672179
Banadir,Daynile,16003,2.078536765,45.28672179,Diinsoor,Bay,225,2.10223306,42.90195425
Banadir,Daynile,16003,2.078536765,45.28672179,Jalalaqsi,Hiraan,71,3.40330583,45.61278234
Banadir,Daynile,16003,2.078536765,45.28672179,Jowhar,Middle Shabelle,1191,2.993376215,45.56818364
